reviewer,time,context,ranking,Chi nhánh,Sentiment
Vinh Nguyen,6 năm trước,"Đây là lần tôi đến rạp chiếu phim
Bãi đậu xe không quá bận rộn
Phòng hát lớn đẹp
Trung tâm mua sắm còn mới",5,CGV Sư Vạn Hạnh,1
Shane Carroll,8 năm trước,"Màn hình đẹp, nhân viên tốt, bỏng ngô phô mai, không coke và đi thang máy từ nhà tôi. Yêu nó!",5,CGV Thảo Điền,1
Minh Huynh,4 năm trước,"Dich vụ tốt. Năm ở lầu 3 của eaon mall. Gần khu vui chơi, phòng tập gym, trung tâm a văn ila.",5,CGV Celadon,1
Jaedong Shin,6 tháng trước,"Có rạp chiếu phim CGV, chợ COOP ở tầng hầm, một số nhãn hiệu quần áo và túi xách cũng như một số quán cà phê, bao gồm Starbucks, Phúc Long và Highland. Ngoài ra còn có nhiều nhà hàng như Meat Buffet và Shabu Shabu Buffet như Dukki Dukki và Haidilao.",5,CGV Sư Vạn Hạnh,1
Chau Nguyen,7 tháng trước,"Có chỗ đậu xe hơi thoải mái, mấy cô bảo vệ dễ thương, những chàng trai bảo vệ nhiệt tình và hiền hòa. 5SAO",5,CGV AEON Bình Tân,1
Hữu KHC Hoàng,4 năm trước,Chưa vô xem bao giờ vì mình k phải tín đồ phim ảnh. Ít khi đi coi fim. Nên k biết đánh giá gì,5,CGV Saigonres Nguyễn Xí,1
Bin,một năm trước,"Không gian rạp cho những ai ko thích ồn ào, ít trẻ em
Giá cao hơn rạp khác chỉ 10k
Đáng để đi",5,CGV Liberty Citypoint,1
Ying Liang,7 tháng trước,"Trời nắng nên cho tụi nhỏ chơi Aeon thường xuyên, mát mẻ, nhiều đồ ăn, nhiều trò chơi con nít",5,CGV AEON Bình Tân,1
아무개,5 năm trước,"Rạp lớn, nhiều chỗ ngồi so với các rạp chiếu phim Hồ Chí Minh khác
Có cả phụ đề tiếng Hàn nữa",5,CGV Vincom Center Landmark,1
wuiidu,6 tháng trước,"Nhân viên thân thiện, dễ thương. Mình đã đến đây xem rất nhiều lần chất lượng phục vụ rất tốt",5,CGV Satra Củ Chi,1
Vĩnh Khang,5 tháng trước,Rạp sạch mà mấy bạn nhân viên còn dễ huông nữa 🫶🏻🫶🏻 đi sáng hay chiều bắp cũng nóng hổi 🫶🏻 mừi đỉmm 👉🏻👈🏻 …,5,CGV Thảo Điền,1
Dũng Đỗ,3 năm trước,"Nhiều cửa hàng mua sắm, ăn uống. Không gian rộng, nhà vệ sinh sạch sẽ. Có nhiều kỷ niệm đẹp ở đây 💕♥️💕♥️ …",5,CGV Giga Mall Thủ Đức,1
Ben Hindmarsh,5 năm trước,Rạp chiếu phim vẫn ổn. Hơi tối một chút nhưng tốt với giá rẻ 5 usd nên không có gì phàn nàn.,5,CGV Thảo Điền,1
Bich_Diep CSKH,một năm trước,"Nói chung là chuẩn CGV.
Cần sd được các thể loại app, dv số đồ,...đủ đu trend với bọn trẻ😃 …",5,CGV Pearl Plaza,1
Ngoc Tran Huynh Thi,6 năm trước,"Tuyệt vời ông mặt trời ở khu vui chơi giải trí aeon, mất thẻ xe đóng tiền ngu hết 100k há há",5,CGV Celadon,1
ĐỒNG võ,một năm trước,"Mình xem ở các cụm rạp vẫn thích ở đây nhất, rạp ko quá lớn, yên tĩnh ghế ngồi rất thoải mái",5,CGV Liberty Citypoint,1
Dương Nguyễn,một năm trước,"Trải nghiệm quá ổn áp, tuyệt vời. Xem phim với công nghệ 4DX ở đây cũng thú dị lắm mọi người",5,CGV Hoàng Văn Thụ,1
rosheena siddiqi,5 năm trước,"Tuyệt vời để mua sắm, có một nơi tuyệt vời cho trẻ em vui chơi và các lựa chọn thực phẩm tốt",5,CGV Sư Vạn Hạnh,1
Võ Ngọc (Ryan Vo),một tháng trước,"Đây là khu mua sắm vui chơi, an uống dành cho gia đình,  đến đây vào những dịp lễ, cuối tuần.",5,CGV Sư Vạn Hạnh,1
Linh Le,5 năm trước,"Bé chơi trò chơi miễn phí 👌
Đồ ăn ngon và rẻ 👍
Có dịp sẽ kêu ck chở mẹ con lên đây nữa 👪😊 …",5,CGV Vivo City,1
무지개,5 năm trước,Rạp chiếu phim hay nhất Phú Mỹ Hưng. Thỉnh thoảng phim Hàn Quốc có phụ đề tiếng Hàn được chiếu.,5,CGV Vivo City,1
Tín Lâm,5 năm trước,"Rất nhiều kiến ​​trúc đẹp, nhiều người và nhiều nơi để thư giãn, có rạp chiếu phim, khu ẩm thực,... v.v.",5,CGV Sư Vạn Hạnh,1
Nhà Rái Cá,2 năm trước,"Là trung tâm thương mại lớn tại khu vực thủ đức, có đầy đủ khu vui chơi, xem phim, giải trí, mua sắm.",5,CGV Giga Mall Thủ Đức,1
Tuyen Ngoc,5 năm trước,Rạp chiếu phim sạch sẽ. Hìh ảnh đẹp ko gian thỏai mái. Mình rất hài lòng và sẽ ghé xem thường xuyên,5,CGV Hoàng Văn Thụ,1
Sean,một năm trước,"Nơi này có một chút mọi thứ cho nhà bếp, phòng tắm, phòng ngủ và trang trí nhà cửa. Nó ở Aeon Mall.",5,CGV Celadon,1
Honey Singh,một năm trước,Thực sự tốt đẹp và một số cách sắp xếp chỗ ngồi sáng tạo. Chủ yếu được truy cập để xem phim Hollywood.,5,CGV Liberty Citypoint,1
Galen Armfield,6 năm trước,Rạp chiếu phim tuyệt vời với bãi đậu xe tốt và nhân viên hữu ích. Sảnh và rạp chiếu phim sạch sẽ. …,5,CGV Hoàng Văn Thụ,1
Hung Pham,6 tháng trước,"Cá nhân tôi thấy đây vẫn là Mall được chủ đầu tư liên tục, sạch đẹp, sáng, nhiều hoạt động giải trí",5,CGV Sư Vạn Hạnh,1
Minh MQ,5 năm trước,Đó là một nhà hát đẹp. Nhân viên rất thân thiện. Nơi này rất tốt để thư giãn sau ngày làm việc vất vả.,5,CGV Pandora City,1
Theodor Sandu,8 năm trước,"Đây là rạp chiếu phim ấm cúng nhất trong thị trấn. Vị trí rất tốt, trên đường Pasteur, dễ dàng đi lại từ mọi nơi. Đặc điểm tốt nhất của nó là một phòng hạng Vàng rất nhỏ, chỉ có 10 chỗ ngồi. Những chiếc ghế thật tuyệt vời và bỏng ngô caramel cũng vậy!",5,CGV Liberty Citypoint,1
Christopher H,6 năm trước,Nơi tốt để xem một bộ phim. Có starbucks ở tầng dưới cùng trong khi xem giờ chiếu phim hoặc hẹn hò.,5,CGV Pearl Plaza,1
Hoàng Huy,một năm trước,"Rạp khá đẹp, ấm cúng.
Phòng hơi nhỏ, nhưng mà chỗ để tay thoải mái.
Có điều khá bất tiện là gửi xe 15k",5,CGV Liberty Citypoint,1
Khanh Vu,2 năm trước,Bản thân tòa nhà khá vắng nên rạp chiếu phim ở đây không đông lắm. Nơi hoàn hảo cho ngày cuối tuần.,5,CGV Thảo Điền,1
Thu Thủy Pham,một năm trước,"Phong i max rộng lắm, đi xem avatar đúng, bắt đầu vào phim mà nhân viên quên tắt đèn, phải gọi mới tắt",5,CGV Vincom Center Landmark,1
Khánh Trần Ngọc,5 năm trước,"Rạp bao cả tầng.
Restroom khá sạch, thích cái gương to trong nhà vệ sinh nữ.
Service tốt và chu đáo. …",5,CGV Pearl Plaza,1
Thu Trâm Trịnh Thị,3 tháng trước,"Rạp chiếu đông đúc và khá nhộn nhịp, nhân viên thân thiện. Phòng chiếu khá đẹp, âm thanh sống động, ghế ngồi êm thoải mái. Mình đi xem Conan, ngay dịp đang có event giới thiệu phim về concert của Blackpink, các Blinks tụ tập ở đây và quẩy cũng rất nhiệt.",5,CGV Vincom Center Landmark,1
Thuận,2 tháng trước,Trung tâm mua sắm lớn. Có rất nhiều thứ cho trẻ em chơi ở đây. Có một số nhà hàng tốt ở đây là tốt.,5,CGV Giga Mall Thủ Đức,1
An Nguyen,8 tháng trước,Ổn... Quên chụp hình rồi. Nằm trong toà nhà sang trọng ở quận 1 ra vào có bảo vệ mở cửa và chào hỏi,5,CGV Liberty Citypoint,1
Ngô Đăng Khoa,5 tháng trước,"rạp trang trí siêu xinh và sạch sẽ, bắp nước phục vụ nhanh, nhân viên rất dễ thương làm hài lòng khách",5,CGV Vincom Center Landmark,1
Hằng Minh,8 tháng trước,Cũng tạm ổn. Phù hợp vs mấy đứa sống nội tâm như mình. Ko quá đông và chen lấn như các rạp khác 😆 …,5,CGV Thảo Điền,1
Long Nguyen,7 năm trước,"Cách xa trung tâm thành phố, vì vậy bạn sẽ có được chỗ ngồi tốt nếu bạn là người đến vào phút cuối.",5,CGV Saigonres Nguyễn Xí,1
La Dilettante秋怀,5 ngày trước,"Rạp rất sạch, thoáng, ghế ngồi có thể ngả lưng rất thoải mái, nhiệt độ cũng vừa phải không quá lạnh",5,CGV Vincom Đồng Khởi,1
Jason Garbutt,9 tháng trước,Hạng vàng có vẻ như là một sự xa hoa nhưng chỗ ngồi thì xứng đáng. Được thêm vào nước và đồ ăn nhẹ.,5,CGV Vincom Đồng Khởi,1
Hậu Huỳnh,2 năm trước,Giá cả rất mềm. Nhưng lưu ý hỏi giá bắp nước. Bữa đưa cho phần bắp nước snoop 260k. Ly khá đẹp 😆😆😆 …,5,CGV Satra Củ Chi,1
Hạnh Trần,9 tháng trước,"Đẹp, rộng, thuận tiện, đồ ăn thức uống, shopping thoả mái. Xứng đáng là nơi giao lưu gặp gỡ & hẹn hò",5,CGV Sư Vạn Hạnh,1
Đức Minh Huỳnh,2 năm trước,"Mình coi ở đây được 3 năm và không gian đây sạch, đẹp và thoáng không như rạp CGV khu khác tối và dơ",5,CGV Lý Chính Thắng,1
Beldon Jung,5 năm trước,Thật tuyệt vì không có nhiều người. Rất đáng để đi vì thỉnh thoảng họ chiếu phim của phụ nữ Hàn Quốc.,5,CGV CT,1
Van Tinh Tran,5 năm trước,Một vị trí thuận lợi cho dân khu Tây SG . Rạp rộng lại nằm trong siêu thị có đủ dịch vụ khá tiện lợi.,5,CGV Pandora City,1
ĐĂNG PHẠM,5 tháng trước,"Phim xem ơn rạp này hay nhất làm IMAX âm thanh chất lượng đỉnh cao còn 4DX thì xem hay quên lối về , rạp có sảnh chờ lớn hơn CGV pandora nhiều , tôi khuyến khích mọi người nên xem phim tại rạp CGV sc vivocity tại địa chỉ : 1085 Nguyễn Văn linh , quận 7",5,CGV Vivo City,1
Tân Nino,6 năm trước,Cgv dịch vụ Ok.  Vị trí lầu 5 vivo.  Phía trên đầy đủ khu vui chơi Happy land và trà sữa ăn uống. Nếu sử dụng thêm vi momo thì sẽ dc km ck nhiều hơn.  Kinh nghiệm là đặt vé trên mạng và tới mình in vé nhanh hơn. Cgv thì ít k có đông như lotte mart.  OK,5,CGV Vivo City,1
Hieu Nguyen,6 năm trước,Một trong những trung tâm mua sắm tốt nhất ở Sài Gòn. Không quá đông đúc hầu hết các ngày trong tuần.,5,CGV Vivo City,1
La'Perria,một năm trước,"Dịch vụ rất tuyệt, nhà hát sạch sẽ và không khí tốt. Tôi chắc chắn sẽ khuyên bạn nên xem phim ở đây!",5,CGV Thảo Điền,1
Khang Võ Trường,7 tháng trước,"một trung tâm mua sắm đẹp, quy mô vừa, với nhiều thương hiệu, lựa chọn mua sắm và nhà hàng nổi tiếng",5,CGV Sư Vạn Hạnh,1
Andrew Thong,6 năm trước,"Trung tâm mua sắm, rạp chiếu phim, quán cà phê và trung tâm trò chơi được kết nối với nhau. Xuất sắc!",5,CGV Saigonres Nguyễn Xí,1
Duy Hoàng,7 năm trước,"Rạp chiếu phim hay nhất Sài Gòn nếu bạn muốn một nơi riêng tư, ít đông đúc để đi cùng bạn bè hoặc SO.",5,CGV Liberty Citypoint,1
อัคมนรัตน์ Hany Nguyen,2 năm trước,Ghế ngồi xem phim của Cgv thoải mái với bên ngoài tòa nhà này có cafe highland view đẹp thoáng mát nè,5,CGV Saigonres Nguyễn Xí,1
an vivi,6 tháng trước,"Dịch vụ tốt nhân viên thân thiện vui vẻ, rạp sạch có nv vệ sinh sau khi xem, làm việc nhanh, nvs sạch",5,CGV AEON Bình Tân,1
KieuChinh Vlog,5 năm trước,"Siêu thị Nhật Bản, rộng rãi và thoải mái, thoáng mát, đồ ăn và thời trang rất OK. Bãi gửi xe rộng lớn.",5,CGV Celadon,1
Toon Tran,4 năm trước,Nhà hát nằm trên tầng 3 của khách sạn. Mọi thứ đều rất sạch sẽ. Nhà vệ sinh nhỏ hơn các rạp CGV khác.,5,CGV Lý Chính Thắng,1
Nguyễn phạm,một năm trước,"Khu mua sắm siêu to không lồ, nhiều nhãn hàng để lựa chọn, khu vui chơi cho trẻ rất lớn, nên đi nha.",5,CGV Celadon,1
Michael Ho,một năm trước,"Có quá nhiều người Đơn vị quản lý cần phải kiểm soát dòng người hợp lý.
Các đánh giá khác - hoàn hảo.",5,CGV Celadon,1
Nhung Nguyen,5 năm trước,"Eone rất rộng, nhiều loại SP, gian hàng, thỏa sức mua sắm. Ăn uống, giải trí đều đc. Nói chung là OK",5,CGV Celadon,1
Kim,11 tháng trước,"Nhân viên nhiệt tình, thân thiện, không chèo kéo mua combo, máy lạnh quá lạnh, lạnh muốn xỉu sốp ơi.",5,CGV Lý Chính Thắng,1
Thiện Nguyễn,6 năm trước,"Xem phim giải trí cuối tuần, gần khu trò chơi, ăn uống lầu trên. Khu vực chờ rộng rãi nhiều ghế ngồi.",5,CGV Pandora City,1
PM Khang Tudo (KHANG PM WOLF),6 năm trước,"CGV đang có giá vé tốt, 50k/vé cho các phim chiếu tại đây. Rạp đối diện sân bay, vị trí khá phù hợp.",5,CGV CT,1
Đình Huy Lê,2 tháng trước,"Rất vui, có nhiều mục và gian hàng khác nhau, có chỗ gửi xe rất rộng. Thang máy nhanh và an toàn, có chỗ vui chơi, đầy đủ các loại thứ chơi đặt biệt có bowling 🎳, rất hấp dẫn nhưng giá hơi mắc, khoảng từ 70k> , T7 CN có thể giá sẽ cao hơn ngày thường. …",5,CGV Sư Vạn Hạnh,1
Rrờn Xanhh,2 năm trước,"Gần nhà nên khá tiện lợi, ko biết còn duy trì được lâu không vì mình thấy Pearl Plaza khá vắng khách.",5,CGV Pearl Plaza,1
Lam Đỗ,4 tháng trước,"Các anh chị nhân viên nhiệt tình, dễ thương. Bắp ở đây rất ngon ạ siu thích bắp phô mai ở cgv lun 💕 …",5,CGV Giga Mall Thủ Đức,1
Thế Phương Nguyễn,3 năm trước,"Mình xem Raya and The Last Dragon với bạn. Các bạn mình đặt vé qua Momo rất thuận lợi (có deal 79k), còn mình đặt trực tiếp giá hơi bị đắt (110k). Rạp sạch sẽ, màn ảnh rất rộng, âm thanh chân thực, mình rất thích, chỉ là có deal mình mới dám đi hic =)))",5,CGV Pandora City,1
Hữu Nguyên Hoàng,2 năm trước,"Hay xem xuất sau 22h vì rẻ, 😂
Hay đi bên CGV CRESCENT MALL hơn VIVOCITY vì bên đây bạn kiểm soát vé vào dễ, cho vào rạp sớm hơn 5 10 phút để ổn định chổ ngồi, chứ bên Vivo City, phải đúng chính xác giờ trên phiếu mới vào được. Đi mấy lần đều ức chế. …",5,CGV Cresent Mall,1
Thu Huong Pham,3 tháng trước,"Phim vui nha, thjch hợp với trẻ con nhà mình, không gian sạch sẽ, khá thoáng so với vài rạp khác. Rất ok",5,CGV Cresent Mall,1
Hải Âu,một năm trước,"Rạp rộng rãi,nhiều phim mới hay,phim giành cho ng lớn và trẻ nhỏ đều có,cập nhật phim mới liên tục",5,CGV Cresent Mall,1
Minh Nguyễn,11 tháng trước,"Cgv luôn là cái tên mình nghĩ tới đầu tiên khi muốn xem phim. Cơ sở vật chất tốt, nhân viên dễ thương.",5,CGV Vincom Thủ Đức,1
Rothnik Croft,một năm trước,"Rạp chiếu phim tuyệt vời, nhỏ đến mức 30 chỗ cho mỗi phòng chiếu phim. Rất thú vị khi xem như vậy",5,CGV Liberty Citypoint,1
Tommy Lee,8 tháng trước,Van Hanh Mall có nhiều quán BUFFET và quán quần áo. Thậm chỉ có rạp chiếu phim CGV. Rất tiện lợi.,5,CGV Sư Vạn Hạnh,1
Nguyen An Do,6 năm trước,Một trong những rạp chiếu phim CGV hay nhất trong thị trấn. Đội ngũ nhân viên và dịch vụ chuyên nghiệp.,5,CGV Vivo City,1
마이노MINOS,3 năm trước,"IMAX
Cần phải nói thêm điều gì nữa?
Bạn có thể thưởng thức phim tại rạp IMAX ở Việt Nam nữa.
tốt nhất!!",5,CGV Vivo City,1
Chia Pin Ni,7 tháng trước,Siêu thị rộng rãi với nhiều sự lựa chọn... cửa hàng... khu ẩm thực trên tầng 4 có rất nhiều món ăn... điều đáng chú ý nhất là... cả tòa nhà đều có máy lạnh... bãi đậu xe an ninh thuận tiện và miễn phí... điều quan trọng nhất Một điều là phòng tắm sạch sẽ...,5,CGV AEON Bình Tân,1
Mai Ken “13”,6 năm trước,"Một trong những rạp chiếu phim hàng đầu. Chất lượng đi kèm với một chút giá, nhưng nhìn chung đáng giá.",5,CGV Vivo City,1
Kim Kim,2 năm trước,có nhiều cửa hàng mới các sp đa dạng. Đông đúc đủ tiện nghi mua sắm và giải trí cho gia đình,5,CGV AEON Bình Tân,1
Maximillian Callender,7 năm trước,Thoải mái hơn các rạp chiếu phim khác. Không lạnh cóng bên trong và không quá ồn ào. Đúng rồi :),5,CGV Vivo City,1
Hữu Nghĩa Huỳnh,7 tháng trước,Tối từ 8h30 hoặc 9h sẽ có sale off 50% toàn bộ mặt hàng ăn uống trong ngày nên tiết kiệm dc 1 mớ,5,CGV AEON Bình Tân,1
Tú Võ,4 năm trước,"Để lên rạp chiếu phim CGV Pandora City phải đi cái thang cuốn như nấc thang lên thiên đường,haha",5,CGV Pandora City,1
Giang Lê,6 năm trước,"Mình chỉ đi coi duy nhất rạp này. Cụec kì sạch sẽ thoáng mát, quan trọng là được cói giá thẻ sv.",5,CGV Thảo Điền,1
Nhật Phong,2 năm trước,"Rạp tốt, nhân viên thấy dễ thương hơn rạp khác. Rạp cũng rộng và it khách nên rộng rãi thỏi mái.",5,CGV CT,1
Duy An Nguyen,8 tháng trước,"Khu ẩm thực đủ tất cả thương hiệu lớn, rất tốt cho gia đình đến vào cuối tuần! Sạch sẽ, ngăn nắp",5,CGV AEON Bình Tân,1
Derek Cowan,6 năm trước,"Rạp chiếu phim tuyệt vời, với IMAX và 4DX, đây là trải nghiệm rạp chiếu phim tuyệt vời nhất tại TP.HCM!",5,CGV Vivo City,1
ALEX,2 năm trước,"Sạch sẽ và 120.000 đồng cho người lớn
Nó rẻ
Ngoài ra, ghế đặc biệt cũng có giá rẻ.
Hãy thoải mái sử dụng",5,CGV Pearl Plaza,1
Lâm Nguyễn,6 tháng trước,Mình đi coi suất chiều tối ngày 25/5 được staff và manager hỗ trợ lấy combo sinh nhật nhiệt tình 10 điểm,5,CGV Vivo City,1
조영일,một năm trước,Điều kiện phòng thân thiện và thỏa đáng. Nó không lớn nhưng sạch sẽ và trên hết là vị trí rất tuyệt vời.,5,CGV Liberty Citypoint,1
Quý Lê,2 năm trước,Đủ người phòng ok chất lượng hình ảnh ok địa điểm hơi không thuận tiện để di chuyển nhưng vẫn ok,5,CGV Thảo Điền,1
Anh Kiệt Huỳnh,7 năm trước,Đây là một rạp chiếu phim không nhỏ cũng không lớn. Rạp rất đẹp và sang trọng. Nhân viên phục vụ rất chu đáo và lịch sự. Rạp sạch sẽ và các món như bắp rang bơ và nước thì hơi mắc. Khuyên mua ở ngoài trước rồi bỏ vào ba lô đem vào sẽ đỡ tốn tiền hơn.,5,CGV CT,1
Nguyen Huong,5 năm trước,"Rạp đẹp, thoáng,  mình đi buổi sáng ngày thường,nên siêu yên tĩnh. Mỗi cái ghế hơi đau lưng 😅 …",5,CGV Liberty Citypoint,1
Hoàng Lan Ngọc,2 tháng trước,"Chất lượng âm thanh của CGV rất đỉnh, tốt, màn hình nét.
Nhân viên phục vụ vé, bắp nước tận tâm.",5,CGV Hùng Vương Plaza,1
Vik Volks,3 năm trước,Nhìn chung dễ dàng mua vé. Ngồi cạnh đồ ăn... Dịch vụ rất tuyệt vời. Tôi đề nghị một chuyến thăm.,5,CGV Celadon,1
So Zux,3 năm trước,"Rạp cũng ổn, không có gì để phàn nàn. Ảnh mình chụp lúc chưa bắt đầu phim nhen, mình ngoan lắm haha 😁 …",5,CGV Pearl Plaza,1
FisA,10 tháng trước,"Nhiều cửa hàng, giá cả như các trung tâm thương mại khác, kế hồ bán nguyệt nên rộng, bên trong rộng rãi",5,CGV Cresent Mall,1
Lê Xuân Trí,8 tháng trước,"Rạp xịn, nằm ngủ ngon nếu xem phim ""chời ơi đất hỡi"" 🍹. Rạp này chỉ bị cái, là không thiếu tiền thôi😂 …",5,CGV Cresent Mall,1
Bảo Linh Lương,5 năm trước,"Đa dạng quán ăn, quầy mua sắm. Nhà vệ sinh sạch sẽ. CGV chiếu phim chất lượng. Chỗ gửi xe rộng rãi",5,CGV Thảo Điền,1
vaa xian,một năm trước,"Rất tốt để cùng trẻ em đi chơi, ăn uống, mua sắm, mua sắm các loại, có siêu thị..và rạp chiếu phim (3D)",5,CGV Giga Mall Thủ Đức,1
Nguyen Anh (Ariel),5 năm trước,Nhà hát đẹp với dịch vụ tuyệt vời dành cho Hạng Vàng. Tuy nhiên khả năng cách âm chưa thực sự tốt.,5,CGV Vincom Đồng Khởi,1
Golden Dragon Plus TV,8 tháng trước,"Rạp hát mát lạnh, không gian ok. Phim Quật mộ trùng ma xem hay....
Nơi đáng đến để xem phim thư giãn...",5,CGV Vincom Gò vấp,1
Minh Thảo,4 năm trước,"Rạp nhỏ nhỏ xinh xinh và ghế siu sịn
CGV này có 2 tầng, rạp 1-4 thì trên lầu còn 5-6 thì tầng dưới",5,CGV Liberty Citypoint,1
SAM NGUYEN,9 tháng trước,"Có trung tâm tiêm chủng, có rạp chiếu phim, có shopping, những ngành hàng không nhiều, vui chơi ít",5,CGV Satra Củ Chi,1
Nghia Le,một năm trước,Tôi đã xem Shazam: Fury of the Gods ở rạp hạng vàng. Chỗ ngồi thoải mái và hệ thống âm thanh tuyệt vời.,5,CGV Liberty Citypoint,1
Vambino Chung CHUNIL GROUP,5 năm trước,Bạn chỉ có thể nhìn thấy cửa hàng Zara nhưng đó là một nơi rộng lớn và thuận tiện. CGV tầng 3 cũng tốt.,5,CGV Vincom Đồng Khởi,1
Jackie Phạm Tường Huy,5 năm trước,"Thích nhất CGV này: nhân viên thân thiện, phục vụ nhanh, máy in vé tự động, nhiều lựa chọn phòng chiếu!",5,CGV Vincom Đồng Khởi,1
Dương Anh Khoa,5 năm trước,Phòng chiếu lớn. Ghế thoải mái. Dịch vụ tốt đẹp. Không gian chờ đợi của khách lớn và có nhiều chỗ ngồi.,5,CGV Sư Vạn Hạnh,1
Anime Hoang,5 năm trước,Quận 1 mà các bạn một chữ chất 😅 hầm gửi xe thì khỏi chê riêng có khu thực tế ảo cực hấp dẫn lun …,5,CGV Vincom Đồng Khởi,1
Tuan Nguyen,8 năm trước,"Giá hơi cao hơn một tí, nhưng dịch vụ tốt, không gian đẹp, rạp không xô bồ
Nên đến đây để xem phim",5,CGV Liberty Citypoint,1
Nguyễn Quang Vĩnh,5 năm trước,Rạp phim ở vị trí gần sân bay nên mỗi lần về quê tôi hay đến sớm để xem phim rồi vào sân bay luôn.,5,CGV CT,1
Hưng Phạm,một năm trước,"Tiện lợi vì ở khu trung tâm thương mại, đối với tôi thì thấy bình thường, không có gì đặt biệt cả.",5,CGV Celadon,1
Cindy Li,5 năm trước,"Nhân viên phục vụ tốt, có lần mình ra khỏi rạp rồi mà để quên balo lại, anh nhân viên ấy dẫn mình vào rạp lấy mà ko tỏ ra khó chịu xíu nào luôn, các chị ở quầy cũng hướng dẫn tận tình nữa; bắp caramel đặc biệt ngon (hơn những rạp CGV khác mình đã đi)",5,CGV Vivo City,1
Ths. Võ Sỹ Nhật,4 tháng trước,Bãi xe rộng. Trung tâm mua sắm và ăn uống đỉnh cao. Rất đáng để trải nghiệm. 5 saoo không có nhưng,5,CGV Giga Mall Thủ Đức,1
nguyễn cường,6 năm trước,"Rạp phim rộng, không quá đông người xem. Nhân viên thái độ luôn niềm nở. Rạp sạch sẽ, thoáng mát.",5,CGV Hoàng Văn Thụ,1
VISIT MY AMAZING VIETNAM,5 năm trước,CT Plaza là một Siêu Thị thuộc hệ thống siêu thị Parkson nằm đối diện sân bay Tân Sơn Nhất TPHCM.,5,CGV CT,1
Matthew Robert,một năm trước,"Mát mẻ,rộng rãi,thoáng,đa dạng loại hình,hoạt động thương mại.Cơ sở vật chất hạ tầng tương đối hoàn thiện .Thu hút đầu tư ,tăng phát triển kinh tế cho khu vực Tân quy.Trải nghiệm xem phim cá nhân mình đánh giá tốt,âm thanh,hình ảnh chất lượng rõ nét.",5,CGV Satra Củ Chi,1
Phạm Duy Thanh,7 năm trước,CGV là cụm rạp mình luôn ưu tiên khi đi xem. Nay giá vé tốt hơn nhiều nên rất thường xuyên đi xem,5,CGV Hoàng Văn Thụ,1
陸寧朱,10 tháng trước,"Trung tâm mua sắm với trung tâm trò chơi lạ mắt, nơi lý tưởng để bạn bè đi chơi ở khu vực Thủ Đức",5,CGV Giga Mall Thủ Đức,1
Long Le,5 tháng trước,Đây là trung tâm thuong mại an toàn tuyệt đối với mọi người mọi nhà...khuyến mãi tuyệt đối các mặt hàng,5,CGV AEON Bình Tân,1
Smart City Eco,4 năm trước,"TTTM rất rộng , thoáng mát . Nơi tập trung các tín đồ mua sắm và ăn uống , xem phim , giải trí ...",5,CGV Cresent Mall,1
Khanh Duy Phan,5 năm trước,"Nơi tốt để mua sắm, thư giãn. Rất nhiều cửa hàng cho mọi thứ bạn cần",5,CGV AEON Bình Tân,1
Khoa Vũ,6 năm trước,"Rạp chiếu phim thực sự tuyệt vời và lớn, dịch vụ tốt và chất lượng rạp chiếu phim tuyệt vời",5,CGV Hoàng Văn Thụ,1
Ngọc Dương Nguyễn,2 năm trước,"Phải công nhận ở đây nhiều gái đẹp, phim ko hay lắm, đc cái màn hình to coi lác cả mắt :)))",5,CGV Vincom Center Landmark,1
thiên nguyễn,một năm trước,"Một trong những rạp lâu đời ở SG, có thang máy rất dài có thể nhìn đc bãi đáp sân bay",5,CGV Pandora City,1
Draco Marvel,5 năm trước,"Tôi thích xem phim ở đây. Chất lượng siêu tốt. Nhân viên rất tốt và ở đây không có nhiều người nên tôi có thể thoải mái chọn chỗ ngồi và tận hưởng khoảng thời gian yên tĩnh, vui vẻ khi xem những bộ phim yêu thích của mình. Chắc chắn là thích nó.",5,CGV Hoàng Văn Thụ,1
Hoàng Huy,một năm trước,"Chỗ khá dễ đi, khá dễ mua vé.
Rạp rộng, tuy nhiên chỗ ngồi hơi chật và khó chịu 1 tí.",5,CGV Lý Chính Thắng,1
Boom Jager,6 tháng trước,"Xem đây mấy lần, nv nhiệt tình, mua vé xong ai mua bắp nước nhớ hỏi kĩ các loại ko sẽ dc lấy loại giá hơi mắc đó",5,CGV Pearl Plaza,1
Thơm Nguyễn Thị,5 tháng trước,"Bắp ngọt vừa tầm, giòn. Hệ thống chữa cháy đầy đủ.
Ghế sạch sẽ, nhà vs có vòi xịt 🫰 …",5,CGV Giga Mall Thủ Đức,1
Thảo Nguyễn,6 tháng trước,"Phòng chiếu Starium với màn hình cong tuyệt vời, ngồi vị trí nào cũng xem đc fim. Trải nghiệm fim 3D hoàn hảo ☺️",5,CGV Hoàng Văn Thụ,1
Nhu,4 tháng trước,"bắp ngon, các bạn nhân viên nhiệt tình, rạp sạch sẽ, sẽ quay lại xem phim vào lần sau",5,CGV Giga Mall Thủ Đức,1
Tung Phung,6 năm trước,"Ít đông đúc hơn các rạp CGV khác, thậm chí cơ sở hạ tầng cũng không bằng những rạp khác. Dịch vụ khách hàng tốt.",5,CGV CT,1
